actor_name,algorithm,braking_fraction,circuit_identity,circuit_seed,circuit_split,curvature_bin,lower_curvature,mean_absolute_steering,mean_speed,mean_throttle,observation_type,outcome,root_identity,run_id,sample_count,training_interactions,upper_curvature
tiny,a2c,0.6231884057971014,0,0,development,curve_2,0.05485719880639534,0.6954289172654566,22.351805184650708,0.039137351686013455,frenet,crashed,2,a2c-tiny-frenet-seed-2,69,2000000,0.08331733356806285
tiny,a2c,0.0,0,0,development,straight,0.0,0.10337386802854985,17.267522050148557,0.44201827403480953,frenet,crashed,3,a2c-tiny-frenet-seed-3,173,2000000,1e-08
tiny,a2c,0.2818181818181818,0,0,development,curve_1,0.0,0.4556216303597797,22.10437985925419,0.1737997079818425,frenet,crashed,3,a2c-tiny-frenet-seed-3,110,2000000,0.05485719880639534
tiny,a2c,0.56,0,0,development,curve_2,0.05485719880639534,0.6649404135718942,22.895260876506917,0.11568814042334755,frenet,crashed,3,a2c-tiny-frenet-seed-3,75,2000000,0.08331733356806285
tiny,a2c,0.05405405405405406,0,0,development,straight,0.0,0.10294959288138843,18.756666594053048,0.3115014292931379,frenet,completed,4,a2c-tiny-frenet-seed-4,296,2000000,1e-08
tiny,a2c,0.3333333333333333,0,0,development,curve_1,0.0,0.3001518078891632,21.049475315607147,0.18135726627272863,frenet,completed,4,a2c-tiny-frenet-seed-4,195,2000000,0.05485719880639534
tiny,a2c,0.7482993197278912,0,0,development,curve_2,0.05485719880639534,0.6087408951375963,21.28968681425899,0.02255080943708593,frenet,completed,4,a2c-tiny-frenet-seed-4,147,2000000,0.08331733356806285
large,ppo,0.36363636363636365,0,0,development,straight,0.0,0.4652181668093076,18.976441085036353,0.3394172765978879,frenet,completed,0,ppo-large-frenet-seed-0,286,2000000,1e-08
large,ppo,0.44607843137254904,0,0,development,curve_1,0.0,0.4225816819451603,20.381303430529524,0.17709120134275189,frenet,completed,0,ppo-large-frenet-seed-0,204,2000000,0.05485719880639534
large,ppo,0.24675324675324675,0,0,development,curve_2,0.05485719880639534,0.5108009783623667,19.669538752993308,0.3095257576780285,frenet,completed,0,ppo-large-frenet-seed-0,154,2000000,0.08331733356806285
large,ppo,0.23728813559322035,0,0,development,straight,0.0,0.3961056507318833,18.72734862770338,0.3067227601168393,frenet,completed,1,ppo-large-frenet-seed-1,295,2000000,1e-08
large,ppo,0.3627450980392157,0,0,development,curve_1,0.0,0.4884504290701657,19.812671025762516,0.19181032970949424,frenet,completed,1,ppo-large-frenet-seed-1,204,2000000,0.05485719880639534
