actor_name,algorithm,contrast,end_to_end_duration,final_completion_rate,final_crash_rate,final_mean_progress,final_mean_return,late_completion_rate,late_mean_return,progress_auc,restricted_convergence_duration,restricted_convergence_interactions,return_auc,root_identity,training_duration
,reinforce,tiny_minus_large,-25.667946699999447,-1.0,1.0,-0.31064830285173484,-154.49496849786976,-0.875,-132.33915809771435,-0.2526460191038904,137.5062641003533,850000.0,-86.76277446170153,4,-20.987878001427816
,reinforce,tiny_minus_large,-260.35947390000183,0.0,0.0,0.9570942280481721,70.28265649005826,0.125,72.76323363080165,0.5348930526745402,-196.217904198822,0.0,49.39754562802862,2,-196.217904198822
,reinforce,tiny_minus_large,-32.29490100000112,0.0,0.0,-0.00010571874353781929,30.834537617781166,0.0,26.97125150396431,-0.16504728685411274,97.99762699952953,700000.0,-41.41152106336955,3,-28.779814100411386
,reinforce,tiny_minus_large,-46.867629399999714,0.0,0.0,-2.33688142901034e-05,-4.025508016153708,0.125,31.396875424834576,-0.11417249605423307,82.6448455004047,400000.0,-25.154177140777847,1,-45.40022489934563
,reinforce,tiny_minus_large,-64.94680339999832,-1.0,1.0,-0.32527872852151785,-156.35545843238796,-1.0,-163.461205002542,-0.3906733141572424,199.74584150053306,1650000.0,-152.67436076064197,0,-60.28797909978857
,reinforce,tiny_minus_medium,-0.15601280000009865,-1.0,1.0,-0.031050030179131882,-133.95861112090768,-0.875,-132.952376728767,-0.3052073389826856,189.01929860024575,1250000.0,-104.87395611227055,2,1.7942544006600656
,reinforce,tiny_minus_medium,-3.666288899999927,0.0,0.0,7.811854534534035e-05,21.41068649364223,0.0,20.747484416575958,-0.17467538691098372,104.95258570002443,700000.0,-51.24233398230993,3,-1.650870000186842
,reinforce,tiny_minus_medium,-37.27145609999934,-1.0,1.0,-0.3249699288600917,-168.05802855912208,-1.0,-164.18197678771133,-0.37199956466151707,212.15362410049966,1750000.0,-152.93610458701727,0,-32.968493999067505
,reinforce,tiny_minus_medium,11.723336299999573,-1.0,1.0,-0.31063264469224183,-174.57399086518825,-0.875,-152.97875304977754,-0.2149592627949476,125.20887690042946,750000.0,-81.10923915726323,4,13.258239998718636
,reinforce,tiny_minus_medium,6.758448600001429,0.0,0.0,8.531756963980897e-05,10.122758849355648,0.0,10.59968289896534,-0.08310903864871533,40.443589000602515,150000.0,-13.287031809131435,1,5.96745230099441
,reinforce,tiny_minus_small,-1.930370200001562,-1.0,1.0,-0.3109265429109753,-156.0722115012021,-0.875,-134.68241987716732,-0.1673356016220321,55.84334100023989,350000.0,-56.86383747419711,4,-0.11381370178241923
,reinforce,tiny_minus_small,-1.9967340000002878,-1.0,1.0,-0.030886953114023674,-132.7706933269327,-0.875,-129.24133353671286,-0.32969147831289747,214.09396500086768,1450000.0,-123.75191551306091,2,1.2363848003751627
,reinforce,tiny_minus_small,-17.314545900000667,0.0,0.0,0.0001452954755374325,2.7125568169129792,0.0,-1.3298501523175332,-0.15713959511130038,101.07574779991046,700000.0,-57.91169734670851,3,-15.23348050057939
,reinforce,tiny_minus_small,-56.16459070000019,-1.0,1.0,-0.32496212979036476,-155.56913919656355,-1.0,-155.66272541541736,-0.31987282878510603,163.4005057007762,1450000.0,-125.66808593975665,0,-51.86679539969373
,reinforce,tiny_minus_small,1.3928317999998399,0.0,0.0,-9.467825847231381e-05,-4.223513202181948,0.0,-2.431552733995858,-0.11129132206469372,81.53435980047288,450000.0,-41.17194036015164,1,2.56028550073097
small,,a2c_minus_ppo,-114.89986769999814,0.0,0.0,-0.00016842929425453512,5.259717271610356,0.0,3.891117919318816,-0.19298595676837393,97.147914500154,600000.0,-57.37681524439864,0,-114.36489799856281
small,,a2c_minus_ppo,-120.07399089999672,1.0,-1.0,0.08013222823095434,165.62049696001338,0.375,65.31956040115071,-0.22020906316767608,115.97675659965898,750000.0,-51.44265485141722,1,-119.99223579936552
small,,a2c_minus_ppo,-125.13078099999984,0.0,0.0,-6.537110827653514e-05,12.15050318125651,0.0,18.66725216012867,-0.21084952771499155,90.5686638999141,600000.0,-52.843960948212214,3,-124.76059330050339
small,,a2c_minus_ppo,-132.16762599999856,0.0,0.0,-0.000123270781203777,22.790026402939446,0.0,20.132035687539542,-0.21913246811030918,109.31755509887444,700000.0,-71.47722519365624,2,-130.97631520060168
small,,a2c_minus_ppo,-143.5866489,0.0,0.0,0.0003851471706757259,-2.3505474089491827,0.0,-3.2462223004156954,-0.2520810211144032,140.56930519899834,900000.0,-90.46546128380425,4,-142.82158789925597
small,,reinforce_minus_a2c,-14.474449399998775,0.0,0.0,-0.00019449344244004685,-28.217391757528162,0.0,-29.38923729175403,0.08100153087265094,-20.93282400020871,-150000.0,0.6280425200813511,0,-17.03211349996309
